Title,Rating,Votes,Duration,genre
480. Türkler Çildirmis Olmali 2: Mavi Vatan,2.2,154.0,1h 40m,action
481. Kali,5.1,409.0,1h 36m,action
482. Mutant,4.5,58.0,1h 30m,action
483. Day Labor,6.3,85.0,,action
484. Captain Avispa,5.8,172.0,1h 36m,action
485. Purushothamudu,4.9,2.2,2h,action
486. Midas,4.6,335.0,1h 25m,action
487. Por,5.0,609.0,2h 34m,action
488. Kondal,5.4,762.0,2h 27m,action
489. The Avenger,,,,action
490. The Worlds Divide,8.0,36.0,2h,action
491. Azotes de Barrio 2,9.9,8.0,,action
492. Hit List,5.5,309.0,2h 5m,action
493. Black Storm,6.6,65.0,1h 37m,action
494. Road Wars: Max Fury,2.0,349.0,1h 23m,action
495. Ghosts of Red Ridge,3.3,145.0,1h 21m,action
496. Spider-Man: Final Swing,8.4,10.0,2h 33m,action
497. Touchdown,6.8,13.0,1h 18m,action
498. Viswam,4.3,629.0,2h 35m,action
499. Double Ismart,2.9,2.1,2h 36m,action
500. Supplier Shankara,9.3,70.0,2h 43m,action
501. Dark Fusion,8.5,234.0,1h 30m,action
502. Breaking and Re-entering,5.8,435.0,1h 49m,action
503. The Evil Three,7.1,857.0,30m,action
504. The Day Everything Changed,7.9,77.0,1h 37m,action
505. Naa Saami Ranga,4.5,1.2,2h 30m,action
506. The Firefighters,5.8,157.0,1h 46m,action
507. Dr. Jason II - Lights & Shadows,5.3,288.0,1h 2m,action
508. Lie Zhan,6.9,66.0,1h 33m,action
509. Election,5.9,808.0,2h,action
510. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8,14.0,1h 30m,action
511. Mani nude,6.7,18.0,,action
512. Stuntman,7.0,139.0,1h 54m,action
513. Go for Broke,5.7,267.0,1h 55m,action
514. Bonnie,7.4,32.0,2h,action
515. The Last Chainsaw Massacre,4.0,38.0,1h 15m,action
516. Gone with the Dead,4.4,46.0,1h 36m,action
517. Anunnakiler,2.5,431.0,1h 16m,action
518. Bhairadevi,8.8,44.0,2h 14m,action
519. Get Close 2,5.7,45.0,,action
